Designator,Value,Quantity,Amount,Link
PCB,,5,2.1,http://jlcpcb.com/
"C1_2, C1, C10",C 1uf,50,0.24,https://www.lcsc.com/product-detail/C2929192.html
"C11, C12, C3, C4, C5, C6, C7, C8, C9_2, C9",C0.1uf,10,0.03,https://www.lcsc.com/product-detail/C237172.html
C14,10 uF,50,0.76,https://www.lcsc.com/product-detail/C105490.html
"C15, C16",33pF,100,0.14,https://www.lcsc.com/product-detail/C482484.html
J1,USB_C_Receptacle_USB2.0_16P,10,0.67,https://www.lcsc.com/product-detail/C393939.html
"J2, J3",Conn_01x20,0,0,dnp
J4,Conn_01x03,0,0,dnp
"R1, R2",5.1K,100,0.23,https://www.lcsc.com/product-detail/C2907044.html
"R3, R4",27,100,0.24,https://www.lcsc.com/product-detail/C137753.html
"R5, R6",1K,100,0.31,https://www.lcsc.com/product-detail/C2907002.html
R7,10K,100,0.14,https://www.lcsc.com/product-detail/C60490.html
SW1,SW_Push,1,0.59,https://www.lcsc.com/product-detail/C221896.html
U1,RP2040,1,0.99,https://www.lcsc.com/product-detail/C2040.html
U2,APS1604M-3SQRx-ZR,1,2.31,https://www.lcsc.com/product-detail/C22423595.html
U4,MCP1700x-330xxTT,5,0.41,https://www.lcsc.com/product-detail/C41381676.html
Y1,Crystal_GND24,5,0.51,https://www.lcsc.com/product-detail/C9002.html
,,PCB Shipping cost,7.65,
,,LCSC Shipping cost,8,
,,Total,25.32,
